diagram_id,unit_filename,local_order,alt_text_en,provenance
prelude-unit-007-diagram-014,prelude-unit-007.tex,14,"Coproduct universal-property bijection from Hom(coproduct over i of X_i,T) to the product over i of Hom(X_i,T), sending psi to the family psi composed with the coproduct inclusions iota_i.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:15; source/en/prelude-unit-007.tex:diagram 14; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-d003,prelude-unit-007.tex,15,"Commutative diagram with objects product_j in I (X_j to Z), X_i. Arrows: product_j in I (X_j to Z) maps to X_i, labeled p_i.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:16; source/en/prelude-unit-007.tex:diagram 15; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-d004,prelude-unit-007.tex,16,Category diagram: \mathcal{C}' → \mathcal{C} (G); \mathcal{C} ⇒ \mathcal{C} (\identity_G).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:17; source/en/prelude-unit-007.tex:diagram 16; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-d005,prelude-unit-007.tex,17,"Commutative diagram with objects X_i, coproduct_j in I (Z to X_j). Arrows: X_i maps to coproduct_j in I (Z to X_j), labeled iota_i.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:18; source/en/prelude-unit-007.tex:diagram 17; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-d006,prelude-unit-007.tex,18,Category diagram: \mathcal{C} → \mathcal{C}' (F); \mathcal{C}' ⇒ \mathcal{C}' (\identity_F).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:19; source/en/prelude-unit-007.tex:diagram 18; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-d007,prelude-unit-007.tex,19,Commutative diagram: X \dtimes{Z} Y → X (p_1); X \dtimes{Z} Y → Y (p_2); X → Z; Y → Z.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:20; source/en/prelude-unit-007.tex:diagram 19; tikzcd; mapped_indonesian_structure_witness
prelude-unit-007-d008,prelude-unit-007.tex,20,Commutative diagram: Z → X; Z → Y; X → X \dsqcup{Z} Y (\iota_1); Y → X \dsqcup{Z} Y (\iota_2).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:21; source/en/prelude-unit-007.tex:diagram 20; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-009-d001,chapter1-unit-009.tex,1,Commutative diagram: S_1 → S_2 (g_1); S_1 ↪ X (f_1); S_2 ↪ X (f_2); S_2 → S_1 (g_2).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:22; source/en/chapter1-unit-009.tex:diagram 1; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-009-d002,chapter1-unit-009.tex,2,"Category diagram: \Hom\left(T, X \dtimes{Z} Y \right) ⇒ \Hom(T,X) \dtimes{\Hom(T,Z)} \Hom(T,Y) (1:1); \Hom\left(T, X \dtimes{Z} Y \right) → \Hom(T, Y) ((p_2)_*).",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:23; source/en/chapter1-unit-009.tex:diagram 2; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-009-d003,chapter1-unit-009.tex,3,"Category diagram: \Hom\left(T, \prod_{i \in I} (X_i \to Z) \right) ⇒ \prod_{i \in I} \left( \Hom(T, X_i) \to \Hom(T, Z) \right) (1:1); \Hom\left(T, \prod_{i \in I} (X_i \to Z) \right) → \Hom(T, Z).",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:24; source/en/chapter1-unit-009.tex:diagram 3; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-010-d001,chapter1-unit-010.tex,1,"Commutative diagram with objects X, Y, Coimage(f), Y'. Arrows: X maps to Y, labeled f; X surjects onto Coimage(f); X maps to Y', labeled g; Coimage(f) maps to Y', labeled bar g; Y' includes into Y, labeled j.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:25; source/en/chapter1-unit-010.tex:diagram 1; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-010-d002,chapter1-unit-010.tex,2,"Commutative diagram with objects X, Y, X', Image(f). Arrows: X maps to Y, labeled f; X surjects onto X', labeled q; X' maps to Image(f), labeled bar g; X' maps to Y, labeled g; Image(f) includes into Y.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:26; source/en/chapter1-unit-010.tex:diagram 2; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-010-d003,chapter1-unit-010.tex,3,Commutative diagram: X → Y (f); X ↠ \Coim(f); \Coim(f) → \Image(f); \Image(f) ↪ Y.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:27; source/en/chapter1-unit-010.tex:diagram 3; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-010-d004,chapter1-unit-010.tex,4,Commutative diagram: X ↠ \Coim(f); X → \Image(gf); \Coim(f) → \Image(gf) (\alpha).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:28; source/en/chapter1-unit-010.tex:diagram 4; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-010-d005,chapter1-unit-010.tex,5,Commutative diagram: \Image(g) ↪ Z; \Coim(gf) . → \Image(g) (\beta); \Coim(gf) . → Z.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:29; source/en/chapter1-unit-010.tex:diagram 5; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-010-d006,chapter1-unit-010.tex,6,Category diagram: X → Y (f); X ↠ \Coim(f); Y → Z (g); \Coim(f) → Y; \Coim(f) → Z; \Image(gf) ↪ Z.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:30; source/en/chapter1-unit-010.tex:diagram 6; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-010-d007,chapter1-unit-010.tex,7,Commutative diagram: X → C (e); X → X' (a); C → Y (m); C → C' (\varphi); Y → Y' (b); X' → C' (e'); C' → Y' (m').,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:31; source/en/chapter1-unit-010.tex:diagram 7; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-010-d008,chapter1-unit-010.tex,8,Commutative diagram: C ↪ Y . (m); C → C' (\varphi); X ↠ C (e); X ↠ C' (e'); C' ↪ Y . (m').,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:32; source/en/chapter1-unit-010.tex:diagram 8; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-010-d009,chapter1-unit-010.tex,9,Commutative diagram: C ↪ Y; C → \Image(f) (\varphi); X ↠ C; X ↠ \Image(f); \Image(f) ↪ Y.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:33; source/en/chapter1-unit-010.tex:diagram 9; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-diagram-001,chapter1-unit-011.tex,1,"Paired functors F:C to C' and G:C' to C, shown by opposing arrows.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:34; source/en/chapter1-unit-011.tex:diagram 1; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d001,chapter1-unit-011.tex,2,Category diagram: F: \mathcal{C} → \mathcal{C}' : G; \mathcal{C}' : G → F: \mathcal{C}.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:35; source/en/chapter1-unit-011.tex:diagram 2; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d002,chapter1-unit-011.tex,3,Commutative diagram: X → X \oplus X (\delta_X); X → X \times X; X \oplus X → Y \oplus Y (f \oplus g); X \oplus X → X \times X (\sim); Y \oplus Y → Y (\check{\delta}_Y); X \times X → Y \times Y (f \times g); Y \times Y → Y \sqcup Y (\sim); Y \sqcup Y → Y; and 1 other arrows.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:36; source/en/chapter1-unit-011.tex:diagram 3; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d003,chapter1-unit-011.tex,4,Commutative diagram: X \sqcup X → Y \sqcup Y (f \sqcup g); X \sqcup X → X \times X; Y \sqcup Y → Y \times Y; X \times X → Y \times Y (f \times g).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:37; source/en/chapter1-unit-011.tex:diagram 4; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d004,chapter1-unit-011.tex,5,Category diagram: F: \mathcal{C} → \mathcal{C}' : G; \mathcal{C}' : G → F: \mathcal{C}.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:38; source/en/chapter1-unit-011.tex:diagram 5; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d005,chapter1-unit-011.tex,6,Schematic composition path showing that the canonical addition on Hom sets is compatible with composition in an additive category.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:39; source/en/chapter1-unit-011.tex:diagram 6; tikzpicture; mapped_indonesian_structure_witness
chapter1-unit-011-d006,chapter1-unit-011.tex,7,Commutative diagram: T ⇒ \Ker(f) (\exists! g'); T → X (g); T → Y . (0); \Ker(f) → X; X → Y . (f).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:40; source/en/chapter1-unit-011.tex:diagram 7; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d007,chapter1-unit-011.tex,8,Commutative diagram: X → Y (f); X → T (0); Y → \Coker(f) .; Y → T (h); \Coker(f) . ⇒ T (\exists! h').,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:41; source/en/chapter1-unit-011.tex:diagram 8; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d008,chapter1-unit-011.tex,9,Category diagram with a square marked \Box: X \dtimes{Y} 0 → X; X \dtimes{Y} 0 → 0; X → Y (f); 0 → Y; one square is marked \Box.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:42; source/en/chapter1-unit-011.tex:diagram 9; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d009,chapter1-unit-011.tex,10,Category diagram with a square marked \Box: X → Y (f); X → 0; Y → Y \dsqcup{X} 0; 0 → Y \dsqcup{X} 0; one square is marked \Box.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:43; source/en/chapter1-unit-011.tex:diagram 10; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d010,chapter1-unit-011.tex,11,Category diagram: T → X (h); X → Y (f); X → Y (g).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:44; source/en/chapter1-unit-011.tex:diagram 11; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d011,chapter1-unit-011.tex,12,Commutative diagram: \Ker(gf) → X \dtimes{Y} \Ker(g) (\sim); \Ker(gf) ↪ X; X \dtimes{Y} \Ker(g) ↪ X.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:45; source/en/chapter1-unit-011.tex:diagram 12; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d012,chapter1-unit-011.tex,13,Commutative diagram: Z \dsqcup{Y} \Coker(f) → \Coker(gf) (\sim); Z ↠ Z \dsqcup{Y} \Coker(f); Z ↠ \Coker(gf).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:46; source/en/chapter1-unit-011.tex:diagram 13; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d013,chapter1-unit-011.tex,14,Commutative diagram: \Ker(f) → X; \Ker(f) ⇒ \Ker(g) (\exists!); X → X' (a); X → Y (f); Y → Y' (b); \Ker(g) → X'; X' → Y' (g).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:47; source/en/chapter1-unit-011.tex:diagram 14; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d014,chapter1-unit-011.tex,15,Commutative diagram: X → X' (a); X → Y (f); Y → Y' (b); Y → \Coker(f); \Coker(f) ⇒ \Coker(g) . (\exists!); X' → Y' (g); Y' → \Coker(g) ..,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:48; source/en/chapter1-unit-011.tex:diagram 15; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d015,chapter1-unit-011.tex,16,Category diagram: X → Y (f); X → X' (a); Y → Y' (b); X' → Y' (g).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:49; source/en/chapter1-unit-011.tex:diagram 16; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d016,chapter1-unit-011.tex,17,Commutative diagram: \Ker(kf) → X; \Ker(f) → X; \Ker(f) ↪ \Ker(kf) (\exists !).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:50; source/en/chapter1-unit-011.tex:diagram 17; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d017,chapter1-unit-011.tex,18,Commutative diagram: \Coker(fk') ↠ \Coker(f) (\exists !); Y → \Coker(fk'); Y → \Coker(f).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:51; source/en/chapter1-unit-011.tex:diagram 18; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d018,chapter1-unit-011.tex,19,"Category diagram: \Hom(T, \Ker(f)) → \left\{ g \in \Hom(T, X): fg=0 \right\} (1:1); \Hom(T, \Ker(kf)) → \left\{ g \in \Hom(T, X): kfg=0 \right\} (1:1).",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:52; source/en/chapter1-unit-011.tex:diagram 19; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-011-d019,chapter1-unit-011.tex,20,Category diagram: \Coim(f) → X/f^{-1}(0); X/f^{-1}(0) → \overline{\left\{ f(x): x \in X \right\}}; \overline{\left\{ f(x): x \in X \right\}} → \Image(f); x + f^{-1}(0) → f(x).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:53; source/en/chapter1-unit-011.tex:diagram 20; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-012-d001,chapter1-unit-012.tex,1,"Bilinearity diagram for composition: \Hom(Y,Z)×\Hom(X,Y) maps by composition to \Hom(X,Z), and factors uniquely through the tensor product \Hom(Y,Z)\otimes_{\Bbbk}\Hom(X,Y) by a \Bbbk-module homomorphism.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:54; source/en/chapter1-unit-012.tex:diagram 1; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-012-d002,chapter1-unit-012.tex,2,Category diagram: F: \mathcal{A} → \mathcal{A}' : G; \mathcal{A}' : G → F: \mathcal{A}.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:55; source/en/chapter1-unit-012.tex:diagram 2; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-013-d001,chapter1-unit-013.tex,1,Commutative diagram: L → M; \alpha(i) → \alpha(j) (\alpha(i \to j)); \alpha(i) → M (g_i); \alpha(i) → L (f_i); \alpha(j) → M (g_j); \alpha(j) → L (f_j).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:56; source/en/chapter1-unit-013.tex:diagram 1; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-013-d002,chapter1-unit-013.tex,2,"Commutative diagram: \alpha(i, j) → \alpha(i, j'); \alpha(i, j) → X(j) (\iota_{i, j}); \alpha(i, j') → X(j') (\iota_{i, j'}); X(j) → X(j') (X(j \to j')).",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:57; source/en/chapter1-unit-013.tex:diagram 2; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-013-d003,chapter1-unit-013.tex,3,"Commutative diagram with objects X(j), X(j'), alpha(i, j), L(j), L(j'). Arrows: X(j) maps to L(j), labeled phi_j; X(j) maps to X(j'), labeled X(j to j'); X(j') maps to L(j'), labeled phi_j'; alpha(i, j) maps to X(j), labeled iota_i,j; alpha(i, j) maps to L(j), labeled f_i, j; L(j) maps to L(j'), labeled L(j to j').",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:58; source/en/chapter1-unit-013.tex:diagram 3; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-014-d001,chapter1-unit-014.tex,1,Commutative diagram: i → Hj; i → Hj'; Hj → Hj' (Hf).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:59; source/en/chapter1-unit-014.tex:diagram 1; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-014-d002,chapter1-unit-014.tex,2,Commutative diagram: Hj → i; Hj → Hj' . (Hf); Hj' . → i.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:60; source/en/chapter1-unit-014.tex:diagram 2; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-014-d003,chapter1-unit-014.tex,3,Commutative diagram: (i'/H) → (i/H); (i'/H) → J (\Pi_{i'/}); (i/H) → J (\Pi_{i/}).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:61; source/en/chapter1-unit-014.tex:diagram 3; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-014-d004,chapter1-unit-014.tex,4,Commutative diagram: (H/i) → (H/i') .; (H/i) → J (\Pi_{/i}); (H/i') . → J (\Pi_{/i'}).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:62; source/en/chapter1-unit-014.tex:diagram 4; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-014-d005,chapter1-unit-014.tex,5,Category diagram: i → H(j); i → H(j''); i → H(j'); H(j'') → H(j) (H(j'' \to j)); H(j'') → H(j') (H(j'' \to j')).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:63; source/en/chapter1-unit-014.tex:diagram 5; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-014-d006,chapter1-unit-014.tex,6,Commutative diagram: j → k; j' → k; j → j; j' → j'; i → j; i → k; i → j'.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:64; source/en/chapter1-unit-014.tex:diagram 6; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-014-d007,chapter1-unit-014.tex,7,"Canonical isomorphism \varprojlim_{i\in\Obj(I)}X_i ≅ \varprojlim_{J\in\mathrm{OFin}_I^{\opp}}\varprojlim_{j\in\Obj(J)}X_j, sending (x_i)_i to the compatible family ((x_j)_{j\in\Obj(J)})_J.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:65; source/en/chapter1-unit-014.tex:diagram 7; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-015-d001,chapter1-unit-015.tex,1,Category diagram: \mathcal{C} → \mathcal{D} (K); \mathcal{C} → \mathcal{E} (F); \mathcal{D} → \mathcal{E} (\exists ? \; L).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:66; source/en/chapter1-unit-015.tex:diagram 1; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-015-d002,chapter1-unit-015.tex,2,Category diagram: \mathcal{C} → \mathcal{D} (K); \mathcal{C} → \mathcal{E} (F); \mathcal{D} → \mathcal{E} (L); \mathcal{D} ⇒ \mathcal{D} (\xi).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:67; source/en/chapter1-unit-015.tex:diagram 2; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-015-d003,chapter1-unit-015.tex,3,Left Kan-extension 2-cell diagram. Functors K:\mathcal{C}→\mathcal{D} and F:\mathcal{C}→\mathcal{E}; the two functors \mathcal{D}→\mathcal{E} are \Lan_K F and L. Natural transformations \eta:F⇒(\Lan_K F)K and \chi:\Lan_K F⇒L express \xi=(\chi K)\eta.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:68; source/en/chapter1-unit-015.tex:diagram 3; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-015-d004,chapter1-unit-015.tex,4,Category diagram: \mathcal{C} → \mathcal{D} (K); \mathcal{C} → \mathcal{E} (F); \mathcal{D} → \mathcal{E} (R); \mathcal{D} ⇒ \mathcal{D} (\delta).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:69; source/en/chapter1-unit-015.tex:diagram 4; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-015-d005,chapter1-unit-015.tex,5,Right Kan-extension 2-cell diagram. Functors K:\mathcal{C}→\mathcal{D} and F:\mathcal{C}→\mathcal{E}; the two functors \mathcal{D}→\mathcal{E} are \Ran_K F and R. Natural transformations \varepsilon:(\Ran_K F)K⇒F and \theta:R⇒\Ran_K F express \delta=\varepsilon(\theta K).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:70; source/en/chapter1-unit-015.tex:diagram 5; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-015-d006,chapter1-unit-015.tex,6,Category diagram: \mathcal{C} → \mathbf{1} (!); \mathcal{C} → \mathcal{E} (F).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:71; source/en/chapter1-unit-015.tex:diagram 6; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-015-d007,chapter1-unit-015.tex,7,Category diagram: F: \mathcal{C} → \mathcal{D}: G; \mathcal{D}: G → F: \mathcal{C}.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:72; source/en/chapter1-unit-015.tex:diagram 7; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-015-d008,chapter1-unit-015.tex,8,Category diagram: G^*: \mathcal{C}^{\mathcal{C}} → \mathcal{C}^{\mathcal{D}}: F^*; \mathcal{C}^{\mathcal{D}}: F^* → G^*: \mathcal{C}^{\mathcal{C}}.,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:73; source/en/chapter1-unit-015.tex:diagram 8; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-015-d009,chapter1-unit-015.tex,9,Category diagram: \mathcal{C} → \mathcal{D} (K); \mathcal{C} → \mathcal{E} (F); \mathcal{D} → \mathcal{E} (\Ran_K F); \mathcal{D} ⇒ \mathcal{D} (\varepsilon); \mathcal{E} → \mathcal{F} (M).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:74; source/en/chapter1-unit-015.tex:diagram 9; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-015-d010,chapter1-unit-015.tex,10,Category diagram: \mathcal{C} → \mathcal{F} (MF); \mathcal{C} → \mathcal{D} (K); \mathcal{D} → \mathcal{F} (M \Ran_K F); \mathcal{D} ⇒ \mathcal{D} (M\varepsilon).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:75; source/en/chapter1-unit-015.tex:diagram 10; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-015-d011,chapter1-unit-015.tex,11,Category diagram: \mathcal{C} → \mathcal{D} (K); \mathcal{C} → \mathcal{E} (F); \mathcal{D} → \mathcal{E} (\Lan_K F); \mathcal{D} ⇒ \mathcal{D} (\eta); \mathcal{E} → \mathcal{F} (M).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:76; source/en/chapter1-unit-015.tex:diagram 11; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-015-d012,chapter1-unit-015.tex,12,Category diagram: \mathcal{C} → \mathcal{F} (MF); \mathcal{C} → \mathcal{D} (K); \mathcal{D} → \mathcal{F} (M \Lan_K F); \mathcal{D} ⇒ \mathcal{D} (M\eta).,qa/DIAGRAM_SOURCE_INVENTORY.jsonl:77; source/en/chapter1-unit-015.tex:diagram 12; tikzcd; mapped_indonesian_structure_witness
chapter1-unit-015-diagram-013,chapter1-unit-015.tex,13,"Paired functors F:C to C' and G:C' to C, shown by opposing arrows.",qa/DIAGRAM_SOURCE_INVENTORY.jsonl:78; source/en/chapter1-unit-015.tex:diagram 13; tikzcd; mapped_indonesian_structure_witness
